Time [s],Bend Die Lateral Max Torque [%],Bend Die Rotating Max Torque [%],Bend Die Vertical Max Torque [%],Bend Die Lateral Movement [mm],Bend Die Rotating Angle [°],Bend Die Vertical Movement [mm],Collet Axial Max Torque [%],Collet Rotating Max Torque [%],Collet Axial Movement [mm],Collet Rotating Movement [mm],Mandrel Axial Load [kN],Manrel Axial Movement [mm],Pressure Die Axial Max Torque [%],Pressure Die Lateral Max Torque [%],Pressure Die Left Axial Max Torque [%],Pressure Die Axial Movement [mm],Pressure Die Lateral Movement [mm],Pressure Die Left Axial Movement [mm],Clamp Die Lateral Max Torque [%],Clamp Die Lateral Movement [mm]
26.6,10.211082458496100,-7.8550004959106400,-11.740740776062000,-33.0,61.86389923095700,19.750099182128900,-6.1973347663879400,2.857142925262450,-275.8994140625,209.88040161132800,0.0732855523064,-2907.60009765625,0.0,-4.172001361846920,0.15000000596046400,9.298800468444820,-50.45000076293950,-7.5,39.724998474121100,225.39999389648400
26.650000000000000,10.237466812133800,-7.807144641876220,-11.703703880310100,-33.0,61.69860076904300,19.75,-6.166667461395260,2.857142925262450,-275.82049560546900,209.88040161132800,0.0364361680354452,-2907.599853515630,0.0,-4.173001766204830,0.15000000596046400,9.376700401306150,-50.45000076293950,-7.5,39.70000076293950,225.39999389648400
26.700000000000000,10.237466812133800,-7.801429271698000,-11.740740776062000,-33.0,61.53300094604490,19.75,-6.261999130249020,2.857142925262450,-275.7356872558590,209.88040161132800,0.0196864479187876,-2907.60009765625,0.0,-4.174001693725590,0.17499999701976800,9.461400032043460,-50.45000076293950,-7.5,39.70000076293950,225.39999389648400
26.75,10.237466812133800,-7.835000514984130,-11.740740776062000,-33.0,61.36759948730470,19.75,-6.355998516082760,2.857142925262450,-275.65020751953100,209.88040161132800,0.0799854403584056,-2907.60009765625,0.0,-4.172001838684080,0.17499999701976800,9.549400329589840,-50.45000076293950,-7.5,39.67499923706060,225.39999389648400
26.8,10.290237426757800,-7.817143440246580,-11.703703880310100,-33.0,61.202301025390600,19.75,-6.44399881362915,2.857142925262450,-275.5712890625,209.88040161132800,0.0565358321803574,-2907.599853515630,0.0,-4.172501564025880,0.20000000298023200,9.628399848937990,-50.45000076293950,-7.5,39.625,225.39999389648400
26.85,10.263853073120100,-7.857857704162600,-11.703703880310100,-33.0,61.036800384521500,19.75,-6.604666233062740,2.857142925262450,-275.48748779296900,209.88040161132800,0.0263863359650755,-2907.60009765625,0.0,-4.18100118637085,0.17499999701976800,9.713299751281740,-50.45000076293950,-7.5,39.625,225.39999389648400
26.900000000000000,10.263853073120100,-7.908569812774660,-11.703703880310100,-33.0,60.87120056152340,19.75,-6.476667404174810,2.857142925262450,-275.40380859375,209.88040161132800,0.0850103563980653,-2907.60009765625,0.0,-4.173999309539800,0.17499999701976800,9.80049991607666,-50.45000076293950,-7.5,39.625,225.39999389648400
26.950000000000000,10.290237426757800,-7.88642692565918,-11.703703880310100,-33.0,60.70589828491210,19.75,-6.134000301361080,2.857142925262450,-275.3236083984380,209.88040161132800,0.0414610840711109,-2907.599853515630,0.0,-4.165499687194820,0.20000000298023200,9.877900123596190,-50.45000076293950,-7.5,39.57500076293950,225.39999389648400
27.0,10.290237426757800,-7.918570518493650,-11.703703880310100,-33.0,60.540401458740200,19.75,-5.9666666984558100,2.857142925262450,-275.2391052246090,209.88040161132800,0.0515109161435399,-2907.60009765625,0.0,-4.174001216888430,0.15000000596046400,9.963000297546390,-50.45000076293950,-7.5,39.54999923706060,225.39999389648400
27.05,10.290237426757800,-7.967141628265380,-11.703703880310100,-33.0,60.375,19.750099182128900,-5.872666835784910,2.857142925262450,-275.1531066894530,209.88040161132800,0.0732855523064,-2907.60009765625,0.0,-4.172000885009770,0.17499999701976800,10.050000190734900,-50.45000076293950,-7.5,39.525001525878900,225.39999389648400
