BendDieBendingAngle,BendDieLateralMovement,ColletAxialForce,ColletAxialMovement,MandrelAxialForce,MandrelAxialMovement,PressureDieAxialForce,PressureDieAxialMovement,PressureDieLateralForce,WiperDieAxialForce,WiperDieLateralForce,WiperDieLateralMovement,Diameter tube [mm],Wallthickness tube [mm],Mandrel extraction before bending end [],Collet boost [-],Clearance pressure die [mm]
57.8858395540879,-0.18232388794,-0.024871727452,31.672878265,1.9705095291,-51.219924927,0.19294004142,-79.999992371,1.8262370825,0.0,0.0,-0.00034181177034,21.7,0.8,0,0.95,0.0
57.93697718321891,-0.18255342543,-0.16302008927,31.700857162,1.9773247242,-51.219924927,0.19429624081,-79.999992371,1.8357686996,0.0,0.0,-0.0014811503934,21.7,0.8,0,0.95,0.0
57.98811480662035,-0.18162976205,-0.11957652122,31.728837967,2.0657048225,-51.219924927,0.19361436367,-79.999992371,1.8298870325,0.0,0.0,0.00057583401212,21.7,0.8,0,0.95,0.0
58.03925243575137,-0.18004097044,-0.037366680801,31.756816864,2.0927944183,-51.219924927,0.19362911582,-79.999992371,1.8308615685,0.0,0.0,0.0013901683269,21.7,0.8,0,0.95,0.0
58.090383229495885,-0.17772947252,-0.0051878797822,31.784797668,2.1766352654,-51.219924927,0.19499950111,-79.999992371,1.8398330212,0.0,0.0,-0.00079548102804,21.7,0.8,0,0.95,0.0
58.141520858626905,-0.17541795969,-0.05905804038,31.812776566,2.2200772762,-51.219924927,0.19879372418,-79.999992371,1.8696806431,0.0,0.0,-0.0012644821545,21.7,0.8,0,0.95,0.0
58.192658482028335,-0.17318765819,-0.16471736133,31.84075737,2.3289673328,-51.219924927,0.1997884661,-79.999992371,1.878739357,0.0,0.0,0.00099526962731,21.7,0.8,0,0.95,0.0
58.243796111159355,-0.1707957983,-0.16560596228,31.868736267,2.3431515694,-51.219924927,0.20158985257,-79.999992371,1.8975124359,0.0,0.0,0.0011072291527,21.7,0.8,0,0.95,0.0
58.2949337345608,-0.16864135861,-0.2254601419,31.896717072,2.2869217396,-51.219924927,0.20596694946,-79.999992371,1.9360587597,0.0,0.0,-0.0011702121701,21.7,0.8,0,0.95,0.0
58.346064534034895,-0.16686859727,-0.19272631407,31.924695969,2.2675545216,-51.219924927,0.21085500717,-79.999992371,1.9766768217,0.0,0.0,-0.00092233525356,21.7,0.8,0,0.95,0.0
58.39720215743633,-0.16562843323,-0.23789842427,31.952674866,2.1696155071,-51.219924927,0.21386341751,-79.999992371,2.0027976036,0.0,0.0,0.001315941452,21.7,0.8,0,0.95,0.0
58.448339786567345,-0.16547006369,-0.20898067951,31.98065567,1.9184761047,-51.219924927,0.2192465663,-79.999992371,2.052359581,0.0,0.0,0.0007144160918,21.7,0.8,0,0.95,0.0
58.49947740996878,-0.16619224846,-0.25159305334,32.008636475,1.4083818197,-51.219924927,0.221452564,-79.999992371,2.0751798153,0.0,0.0,-0.0014288194943,21.7,0.8,0,0.95,0.0
58.5506150390998,-0.16785100102,-0.3229509294,32.036613464,1.2396105528,-51.219924927,0.22458696365,-79.999992371,2.1035568714,0.0,0.0,-0.00048866216093,21.7,0.8,0,0.95,0.0
58.60174583284432,-0.16985502839,-0.45473459363,32.064594269,0.83131331205,-51.219924927,0.22525955737,-79.999992371,2.1085214615,0.0,0.0,0.0015060282312,21.7,0.8,0,0.95,0.0
58.65288346197534,-0.17220070958,-0.38317841291,32.092575073,0.9255361557,-51.219924927,0.22687466443,-79.999992371,2.1194031239,0.0,0.0,0.00025070921401,21.7,0.8,0,0.95,0.0
58.70402108537678,-0.17489792407,-0.40154853463,32.120555878,0.81416600943,-51.219924927,0.22588317096,-79.999992371,2.1093859673,0.0,0.0,-0.0015456404071,21.7,0.8,0,0.95,0.0
58.75515871450779,-0.17796638608,-0.48643398285,32.148532867,0.77167892456,-51.219924927,0.2219530642,-79.999992371,2.0758261681,0.0,0.0,-6.4975170062e-06,21.7,0.8,0,0.95,0.0
